path,variable,experiment,member_id,long_name,units,vertical_levels,frequency
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.001.cam.h0.TREFHT.203501-206912.json,TREFHT,SSP245-TSMLT-GAUSS-DEFAULT,001,Reference height temperature,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.001.cam.h0.TREFHTMN.203501-206912.json,TREFHTMN,SSP245-TSMLT-GAUSS-DEFAULT,001,Minimum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.001.cam.h0.TREFHTMX.203501-206912.json,TREFHTMX,SSP245-TSMLT-GAUSS-DEFAULT,001,Maximum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.002.cam.h0.TREFHT.203501-206912.json,TREFHT,SSP245-TSMLT-GAUSS-DEFAULT,002,Reference height temperature,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.002.cam.h0.TREFHTMN.203501-206912.json,TREFHTMN,SSP245-TSMLT-GAUSS-DEFAULT,002,Minimum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.002.cam.h0.TREFHTMX.203501-206912.json,TREFHTMX,SSP245-TSMLT-GAUSS-DEFAULT,002,Maximum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.003.cam.h0.TREFHT.203501-206912.json,TREFHT,SSP245-TSMLT-GAUSS-DEFAULT,003,Reference height temperature,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.003.cam.h0.TREFHTMN.203501-206912.json,TREFHTMN,SSP245-TSMLT-GAUSS-DEFAULT,003,Minimum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.003.cam.h0.TREFHTMX.203501-206912.json,TREFHTMX,SSP245-TSMLT-GAUSS-DEFAULT,003,Maximum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.004.cam.h0.TREFHT.203501-206912.json,TREFHT,SSP245-TSMLT-GAUSS-DEFAULT,004,Reference height temperature,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.004.cam.h0.TREFHTMN.203501-206912.json,TREFHTMN,SSP245-TSMLT-GAUSS-DEFAULT,004,Minimum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.004.cam.h0.TREFHTMX.203501-206912.json,TREFHTMX,SSP245-TSMLT-GAUSS-DEFAULT,004,Maximum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.005.cam.h0.TREFHT.203501-206912.json,TREFHT,SSP245-TSMLT-GAUSS-DEFAULT,005,Reference height temperature,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.005.cam.h0.TREFHTMN.203501-206912.json,TREFHTMN,SSP245-TSMLT-GAUSS-DEFAULT,005,Minimum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.005.cam.h0.TREFHTMX.203501-206912.json,TREFHTMX,SSP245-TSMLT-GAUSS-DEFAULT,005,Maximum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.006.cam.h0.TREFHT.203501-206912.json,TREFHT,SSP245-TSMLT-GAUSS-DEFAULT,006,Reference height temperature,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.006.cam.h0.TREFHTMN.203501-206912.json,TREFHTMN,SSP245-TSMLT-GAUSS-DEFAULT,006,Minimum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.006.cam.h0.TREFHTMX.203501-206912.json,TREFHTMX,SSP245-TSMLT-GAUSS-DEFAULT,006,Maximum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.007.cam.h0.TREFHT.203501-206912.json,TREFHT,SSP245-TSMLT-GAUSS-DEFAULT,007,Reference height temperature,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.007.cam.h0.TREFHTMN.203501-206912.json,TREFHTMN,SSP245-TSMLT-GAUSS-DEFAULT,007,Minimum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.007.cam.h0.TREFHTMX.203501-206912.json,TREFHTMX,SSP245-TSMLT-GAUSS-DEFAULT,007,Maximum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.008.cam.h0.TREFHT.203501-207012.json,TREFHT,SSP245-TSMLT-GAUSS-DEFAULT,008,Reference height temperature,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.008.cam.h0.TREFHTMN.203501-207012.json,TREFHTMN,SSP245-TSMLT-GAUSS-DEFAULT,008,Minimum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.008.cam.h0.TREFHTMX.203501-207012.json,TREFHTMX,SSP245-TSMLT-GAUSS-DEFAULT,008,Maximum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.009.cam.h0.TREFHT.203501-207012.json,TREFHT,SSP245-TSMLT-GAUSS-DEFAULT,009,Reference height temperature,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.009.cam.h0.TREFHTMN.203501-207012.json,TREFHTMN,SSP245-TSMLT-GAUSS-DEFAULT,009,Minimum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.009.cam.h0.TREFHTMX.203501-207012.json,TREFHTMX,SSP245-TSMLT-GAUSS-DEFAULT,009,Maximum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.010.cam.h0.TREFHT.203501-206912.json,TREFHT,SSP245-TSMLT-GAUSS-DEFAULT,010,Reference height temperature,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.010.cam.h0.TREFHTMN.203501-206912.json,TREFHTMN,SSP245-TSMLT-GAUSS-DEFAULT,010,Minimum reference height temperature over output period,K,1,month_1
/Users/mgrover/git_repos/cloud-for-climate/notebooks/jsons/b.e21.BW.f09_g17.SSP245-TSMLT-GAUSS-DEFAULT.010.cam.h0.TREFHTMX.203501-206912.json,TREFHTMX,SSP245-TSMLT-GAUSS-DEFAULT,010,Maximum reference height temperature over output period,K,1,month_1
